reference;nombre de pieces;nombre de chambres;surface;surface terrain;prix m2
F51/2808 /  17 octobre 2024;4.0;3.0;104.0;400.0;5.288
F43/1068 /  17 octobre 2024;2.0;1.0;45.0;;3.667
F22/0723 /  17 octobre 2024;2.0;1.0;34.0;;11.618
F53/1104 /  18 octobre 2024;2.0;1.0;33.0;;11.061
F25/1081 /  17 octobre 2024;4.0;3.0;80.0;;3.6
F37/0831 /  17 octobre 2024;4.0;2.0;94.0;;1.894
E69/0096 /  17 octobre 2024;7.0;5.0;106.0;266.0;3.481
F33/3402 /  17 octobre 2024;5.0;4.0;100.0;;2.0
F42/1623 /  17 octobre 2024;;2.0;35.0;;
F42/2286 /  17 octobre 2024;3.0;2.0;45.01;;6.065
F39/1253 /  17 octobre 2024;4.0;3.0;132.0;285.0;3.636
F36/1153 /  17 octobre 2024;4.0;3.0;85.0;;2.341
F46/1755 /  17 octobre 2024;6.0;6.0;550.0;227.0;505.0
F09/0952 /  17 octobre 2024;4.0;3.0;82.0;;3.415
F26/2503 /  11 octobre 2024;7.0;4.0;165.0;490.0;5.358
F22/1513 /  18 octobre 2024;5.0;3.0;100.0;;4.7
F49/2826 /  17 octobre 2024;3.0;2.0;54.0;;3.981
F00/2049 /  16 octobre 2024;;;;;
F49/1212 /  19 octobre 2024;;3.0;60.0;;
F46/0255 /  17 octobre 2024;4.0;3.0;92.0;407.0;5.098
F27/1311 /  17 octobre 2024;4.0;3.0;95.0;;1.811
F32/2172 /  19 octobre 2024;5.0;4.0;94.0;459.0;4.138
F20/0484 /  17 octobre 2024;11.0;8.0;238.0;695.0;3.235
F45/1062 /  17 octobre 2024;10.0;6.0;192.0;840.0;1.563
F01/0224 /  17 octobre 2024;10.0;6.0;350.0;2.3;2.714
E57/0973 /  17 octobre 2024;;2.0;68.5;;
F49/1360 /  19 octobre 2024;6.0;4.0;248.0;552.0;565.0
F21/0038 /  17 octobre 2024;5.0;3.0;120.0;2.0;825.0
F49/2600 /  17 octobre 2024;;;56.0;;
F41/1678 /  17 octobre 2024;2.0;1.0;37.0;;5.108
F22/2678 /  17 octobre 2024;6.0;5.0;182.0;280.0;
F47/0511 /  17 octobre 2024;6.0;3.0;220.0;450.0;1.273
F49/1390 /  19 octobre 2024;3.0;2.0;64.0;;5.703
F34/2131 /  17 octobre 2024;6.0;4.0;130.0;814.0;1.922
F44/0620 /  17 octobre 2024;1.0;;10.8;;6.944
F51/1533 /  17 octobre 2024;;;28.0;;
F51/3165 /  15 octobre 2024;3.0;2.0;76.0;;3.314
F44/1957 /  19 octobre 2024;4.0;3.0;84.0;;5.595
F28/1049 /  17 octobre 2024;8.0;5.0;195.0;1.981;5.0
F20/2443 /  17 octobre 2024;2.0;1.0;50.0;;3.4
F36/0348 /  18 octobre 2024;11.0;4.0;231.0;1.2;3.026
F50/2882 /  17 octobre 2024;2.0;1.0;49.4;;10.931
F33/1328 /  18 octobre 2024;5.0;2.0;118.0;1.6;1.864
F21/1820 /  19 octobre 2024;4.0;4.0;98.0;;2.546
F49/1331 /  18 octobre 2024;1.0;;36.0;;
E96/1105 /  19 octobre 2024;6.0;3.0;153.0;376.0;2.608
F28/0649 /  18 octobre 2024;3.0;2.0;59.0;;3.559
F52/2942 /  17 octobre 2024;;;101.0;;
F35/1575 /  19 octobre 2024;4.0;3.0;140.0;376.0;4.929
F09/0150 /  18 octobre 2024;6.0;3.0;133.0;426.0;2.398
F38/0496 /  17 octobre 2024;6.0;4.0;120.0;3.9;5.825
F22/1469 /  17 octobre 2024;5.0;4.0;97.0;246.0;3.504
F43/0750 /  17 octobre 2024;3.0;2.0;70.0;;4.929
D93/1432 /  18 octobre 2024;4.0;2.0;80.0;;
F19/0200 /  17 octobre 2024;;;1.2;;246.0
F31/2134 /  18 octobre 2024;3.0;2.0;67.0;;
E93/0374 /  17 octobre 2024;12.0;5.0;292.0;5.604;2.048
E85/3142 /  17 octobre 2024;;;1.122;;154.0
F10/0910 /  18 octobre 2024;1.0;;29.0;;
F38/2760 /  17 octobre 2024;6.0;3.0;160.0;241.0;2.781
F51/1535 /  19 octobre 2024;5.0;4.0;132.0;796.0;2.917
F52/2003 /  17 octobre 2024;5.0;4.0;160.0;953.0;3.431
E25/2756 /  18 octobre 2024;3.0;2.0;104.0;;5.192
E89/1418 /  17 octobre 2024;6.0;4.0;133.0;200.0;2.85
E99/1164 /  17 octobre 2024;6.0;4.0;142.0;1.625;3.027
E12/1210 /  19 octobre 2024;8.0;4.0;240.0;10.0;2.458
F41/1234 /  18 octobre 2024;6.0;4.0;200.0;1.6;4.75
F36/1181 /  17 octobre 2024;1.0;;30.0;;6.633
F48/1958 /  17 octobre 2024;7.0;4.0;134.0;1.134;4.478
F35/1326 /  17 octobre 2024;8.0;5.0;219.0;1.2;3.196
F17/1328 /  17 octobre 2024;;;50.0;;
E91/0553 /  17 octobre 2024;;1.0;28.0;;
F47/3430 /  17 octobre 2024;3.0;2.0;80.0;;8.125
F38/0367 /  17 octobre 2024;4.0;2.0;62.0;;5.565
F30/1202 /  17 octobre 2024;3.0;2.0;67.0;;
F28/0102 /  17 octobre 2024;4.0;3.0;103.0;2.011;3.35
F32/1951 /  17 octobre 2024;6.0;4.0;170.0;398.0;6.765
E91/1364 /  19 octobre 2024;7.0;5.0;289.0;2.99;
E50/0065 /  18 octobre 2024;6.0;4.0;310.0;380.0;5.161
F14/0115 /  17 octobre 2024;3.0;2.0;62.0;;
F52/1796 /  19 octobre 2024;7.0;6.0;187.0;100.0;3.086
F28/1853 /  19 octobre 2024;8.0;7.0;160.0;548.0;3.875
F20/2146 /  18 octobre 2024;13.0;4.0;300.0;719.0;883.0
F33/1792 /  18 octobre 2024;4.0;3.0;120.0;;3.333
F38/0851 /  17 octobre 2024;3.0;2.0;76.0;;6.776
F47/2958 /  17 octobre 2024;2.0;1.0;45.0;;4.111
F47/2057 /  17 octobre 2024;2.0;1.0;41.58;;
C97/1330 /  17 octobre 2024;8.0;4.0;170.0;300.0;2.641
E24/1363 /  17 octobre 2024;10.0;6.0;275.0;2.236;2.727
F40/0589 /  17 octobre 2024;3.0;2.0;69.0;;4.638
F52/2844 /  17 octobre 2024;27.0;16.0;668.0;33.0;2.537
F31/0895 /  17 octobre 2024;7.0;6.0;160.0;1.99;
F42/0080 /  17 octobre 2024;;;790.0;;
F39/0114 /  17 octobre 2024;3.0;2.0;100.0;;12.0
F29/2343 /  17 octobre 2024;6.0;5.0;180.0;5.3;3.167
F42/2179 /  18 octobre 2024;2.0;1.0;45.22;;3.737
D54/0068 /  17 octobre 2024;2.0;1.0;46.0;;8.478
F41/0870 /  17 octobre 2024;4.0;3.0;117.0;1.0;5.085
F05/1437 /  18 octobre 2024;6.0;4.0;147.0;;
F28/0108 /  17 octobre 2024;10.0;6.0;300.0;3.8;5.0
F42/0051 /  17 octobre 2024;4.0;2.0;112.55;;6.486
F50/2991 /  19 octobre 2024;3.0;2.0;54.0;96.0;4.593
F26/0126 /  17 octobre 2024;7.0;5.0;200.0;500.0;2.25
F19/1590 /  17 octobre 2024;5.0;4.0;101.0;144.0;3.614
F52/1498 /  11 octobre 2024;4.0;3.0;91.0;1.981;4.615
F52/2602 /  14 octobre 2024;2.0;1.0;33.43;;3.799
F32/3065 /  17 octobre 2024;8.0;4.0;250.0;554.0;1.0
F03/1417 /  17 octobre 2024;3.0;2.0;58.0;;2.759
F29/2154 /  17 octobre 2024;6.0;4.0;120.0;390.0;4.25
E78/3310 /  18 octobre 2024;7.0;5.0;196.0;630.0;3.316
F46/1974 /  17 octobre 2024;6.0;5.0;237.0;1.03;3.755
F17/0279 /  17 octobre 2024;5.0;3.0;130.0;;4.462
F46/2832 /  17 octobre 2024;6.0;4.0;117.0;169.0;3.197
F31/2128 /  19 octobre 2024;6.0;4.0;110.0;100.0;2.982
F33/2995 /  17 octobre 2024;9.0;6.0;214.0;2.4;6.682
F50/0415 /  17 octobre 2024;4.0;3.0;91.0;;3.714
F12/1804 /  11 octobre 2024;3.0;2.0;49.35;;8.612
F07/1186 /  17 octobre 2024;7.0;6.0;125.0;754.0;2.592
F48/1860 /  19 octobre 2024;2.0;1.0;48.2;;8.091
F18/1620 /  17 octobre 2024;6.0;3.0;450.0;50.0;1.667
F41/0204 /  17 octobre 2024;6.0;4.0;200.0;1.025;1.175
F35/3229 /  17 octobre 2024;5.0;4.0;113.0;196.0;2.381
F31/2136 /  19 octobre 2024;6.0;5.0;143.0;;3.021
E74/2295 /  18 octobre 2024;3.0;2.0;77.0;;3.455
D07/0625 /  17 octobre 2024;;;2.0;;
F52/2897 /  17 octobre 2024;;;227.0;;991.0
F36/1084 /  17 octobre 2024;7.0;6.0;192.0;898.0;2.396
F44/0507 /  17 octobre 2024;1.0;;24.0;;7.292
E61/2888 /  18 octobre 2024;6.0;4.0;200.0;270.0;4.925
F00/1328 /  19 octobre 2024;1.0;;9.26;;
F50/1019 /  17 octobre 2024;6.0;4.0;136.0;1.9;3.228
F26/0830 /  17 octobre 2024;7.0;4.0;195.0;1.9;2.333
F53/0903 /  19 octobre 2024;6.0;4.0;123.77;297.0;1.939
F45/0244 /  17 octobre 2024;8.0;5.0;195.0;500.0;1.949
F02/0257 /  17 octobre 2024;5.0;2.0;163.0;245.0;3.16
E46/1680 /  19 octobre 2024;5.0;2.0;121.0;;5.0
F17/0622 /  17 octobre 2024;8.0;5.0;135.0;497.0;3.889
E64/0028 /  18 octobre 2024;7.0;5.0;168.0;306.0;3.857
F53/1189 /  17 octobre 2024;4.0;3.0;90.0;112.0;4.556
F42/1301 /  18 octobre 2024;3.0;2.0;70.02;;5.213
E96/0092 /  17 octobre 2024;5.0;4.0;96.0;1.0;4.115
F51/0332 /  17 octobre 2024;5.0;4.0;136.0;;3.676
E03/1724 /  17 octobre 2024;5.0;3.0;209.0;610.0;2.153
E30/3816 /  17 octobre 2024;;;;;
E45/2633 /  17 octobre 2024;3.0;2.0;72.0;;2.764
E30/0184 /  17 octobre 2024;;;;;
F43/1161 /  19 octobre 2024;4.0;3.0;77.6;;6.057
F33/3379 /  17 octobre 2024;6.0;4.0;131.67;847.0;
F31/2296 /  17 octobre 2024;6.0;5.0;185.0;2.15;2.589
F08/0139 /  17 octobre 2024;9.0;4.0;230.0;700.0;3.474
F17/2202 /  18 octobre 2024;4.0;3.0;89.0;;4.101
E89/1484 /  19 octobre 2024;;;600.0;;
F23/0535 /  18 octobre 2024;2.0;1.0;39.0;;5.59
E80/2089 /  19 octobre 2024;6.0;3.0;110.0;1.73;3.955
F45/1718 /  12 octobre 2024;3.0;1.0;61.7;;
F41/2127 /  17 octobre 2024;2.0;1.0;28.0;;7.7
F42/1859 /  17 octobre 2024;5.0;3.0;140.0;340.0;2.714
F45/1411 /  18 octobre 2024;2.0;1.0;29.0;;
F39/1620 /  18 octobre 2024;;;1.6;;27.0
F50/0567 /  17 octobre 2024;4.0;3.0;93.0;;3.226
E97/2183 /  17 octobre 2024;1.0;;18.0;;1.661
F53/0040 /  17 octobre 2024;1.0;;27.1;;7.664
F47/2142 /  17 octobre 2024;5.0;3.0;174.0;;2.816
F33/1797 /  17 octobre 2024;;;1.511;;129.0
E88/1428 /  17 octobre 2024;6.0;5.0;140.0;1.3;4.607
F51/0297 /  18 octobre 2024;4.0;2.0;80.0;156.0;4.25
F43/0448 /  17 octobre 2024;6.0;4.0;160.0;200.0;469.0
F39/1770 /  17 octobre 2024;5.0;3.0;100.0;2.0;4.3
F33/1427 /  17 octobre 2024;8.0;5.0;185.0;688.0;2.216
F31/0598 /  18 octobre 2024;3.0;2.0;65.8;;2.166
F36/2258 /  19 octobre 2024;6.0;4.0;163.0;;4.847
F35/2428 /  19 octobre 2024;3.0;2.0;67.0;;
F28/0760 /  17 octobre 2024;6.0;3.0;116.0;1.656;1.25
F08/1163 /  18 octobre 2024;5.0;4.0;116.0;412.0;
F46/2713 /  17 octobre 2024;4.0;3.0;68.0;;3.147
F32/2973 /  19 octobre 2024;;;587.0;;366.0
F42/0171 /  18 octobre 2024;4.0;3.0;110.0;130.0;2.836
F52/2456 /  14 octobre 2024;3.0;2.0;68.0;;6.691
F47/1394 /  18 octobre 2024;3.0;2.0;67.0;;
F52/1979 /  14 octobre 2024;1.0;;27.0;;
F35/1519 /  17 octobre 2024;1.0;1.0;30.0;;
F36/0736 /  17 octobre 2024;6.0;4.0;100.0;471.0;4.75
F31/1626 /  18 octobre 2024;5.0;3.0;128.46;630.0;3.807
E52/0203 /  14 octobre 2024;1.0;;19.5;;5.564
F45/2264 /  17 octobre 2024;5.0;3.0;155.0;1.565;2.71
F53/1847 /  19 octobre 2024;6.0;4.0;155.0;858.0;4.161
F33/0418 /  17 octobre 2024;6.0;4.0;191.0;500.0;471.0
F36/1829 /  17 octobre 2024;1.0;;20.0;;9.95
F51/0163 /  17 octobre 2024;3.0;1.0;64.0;95.0;6.875
F51/3250 /  17 octobre 2024;2.0;1.0;67.0;;10.075
F48/1630 /  19 octobre 2024;6.0;4.0;116.09;344.0;2.8
F36/0777 /  19 octobre 2024;6.0;5.0;175.0;415.0;6.857
F35/0876 /  17 octobre 2024;6.0;5.0;202.0;1.0;8.911
F35/1203 /  17 octobre 2024;7.0;5.0;140.0;1.03;2.707
F17/0540 /  18 octobre 2024;3.0;2.0;83.0;;1.916
F47/0904 /  17 octobre 2024;3.0;2.0;53.0;;10.849
F13/1593 /  17 octobre 2024;3.0;2.0;49.65;;8.862
F52/2796 /  17 octobre 2024;6.0;5.0;152.0;875.0;2.303
F17/1602 /  19 octobre 2024;8.0;4.0;175.0;100.0;2.28
E93/1690 /  17 octobre 2024;5.0;3.0;85.0;125.0;3.118
F35/0790 /  17 octobre 2024;7.0;5.0;200.0;1.52;7.995
F48/2732 /  17 octobre 2024;3.0;2.0;71.0;;2.507
F45/1309 /  17 octobre 2024;2.0;1.0;39.0;;
F48/1508 /  19 octobre 2024;3.0;2.0;60.0;;2.65
F51/1144 /  17 octobre 2024;6.0;4.0;208.0;2.509;
F36/0105 /  18 octobre 2024;3.0;2.0;49.0;;10.367
F48/0479 /  12 octobre 2024;3.0;2.0;73.0;;6.027
F08/0794 /  17 octobre 2024;6.0;4.0;120.0;500.0;6.0
F33/0087 /  17 octobre 2024;12.0;8.0;438.0;1.035;3.881
F42/0922 /  17 octobre 2024;;;110.0;;
F18/2479 /  17 octobre 2024;5.0;4.0;170.0;2.8;
F32/1975 /  17 octobre 2024;6.0;4.0;146.0;2.3;1.438
F46/2974 /  17 octobre 2024;3.0;2.0;55.0;163.0;6.545
F19/0642 /  18 octobre 2024;3.0;2.0;66.0;;4.091
F44/1396 /  19 octobre 2024;3.0;2.0;65.0;;2.808
F01/1334 /  18 octobre 2024;5.0;3.0;85.0;91.0;6.176
F10/0989 /  18 octobre 2024;6.0;4.0;192.0;1.4;
F47/2278 /  16 octobre 2024;1.0;1.0;15.6;;
F53/0146 /  17 octobre 2024;3.0;2.0;63.0;;6.984
E79/0888 /  17 octobre 2024;10.0;6.0;172.0;3.2;3.198
E35/2233 /  18 octobre 2024;9.0;5.0;250.0;16.0;
F30/2353 /  17 octobre 2024;3.0;2.0;91.0;450.0;
F20/1257 /  17 octobre 2024;3.0;2.0;75.0;;9.187
F22/0080 /  18 octobre 2024;6.0;4.0;170.0;350.0;2.941
F51/2190 /  19 octobre 2024;5.0;3.0;185.0;3.0;1.076
E99/0582 /  17 octobre 2024;8.0;5.0;220.0;220.0;1.0
E60/0873 /  17 octobre 2024;7.0;5.0;230.0;847.0;3.87
F49/2881 /  17 octobre 2024;2.0;1.0;31.0;;8.871
F17/0634 /  17 octobre 2024;;;37.0;;
F44/1488 /  17 octobre 2024;6.0;4.0;93.0;793.0;1.989
F50/1913 /  19 octobre 2024;3.0;2.0;64.0;;4.531
F38/2681 /  17 octobre 2024;4.0;2.0;117.0;;1.598
F21/2439 /  17 octobre 2024;4.0;2.0;92.63;;
F29/0851 /  17 octobre 2024;4.0;2.0;90.0;;8.111
F18/1283 /  17 octobre 2024;;;25.0;;
F21/0958 /  17 octobre 2024;3.0;2.0;61.23;;5.471
E85/2304 /  17 octobre 2024;1.0;;17.0;;
F24/2151 /  15 octobre 2024;6.0;3.0;126.0;13.0;1.222
E79/0293 /  19 octobre 2024;6.0;4.0;117.0;190.0;
A09/1304 /  18 octobre 2024;8.0;5.0;200.0;252.0;
F01/0490 /  17 octobre 2024;5.0;4.0;175.0;900.0;
F40/1694 /  17 octobre 2024;3.0;1.0;52.0;;
E75/1988 /  18 octobre 2024;5.0;3.0;120.4;;
F29/0604 /  17 octobre 2024;6.0;3.0;150.0;70.0;1.233
E83/3707 /  17 octobre 2024;;;1.5;;117.0
F32/1774 /  18 octobre 2024;2.0;1.0;43.0;;7.907
F48/3119 /  17 octobre 2024;2.0;1.0;37.5;;7.333
F29/0679 /  17 octobre 2024;3.0;2.0;50.0;;3.1
F00/1617 /  18 octobre 2024;3.0;2.0;57.0;;8.509
F15/2198 /  17 octobre 2024;4.0;3.0;77.0;;3.766
F41/0721 /  17 octobre 2024;5.0;3.0;100.0;250.0;8.5
F35/0352 /  17 octobre 2024;7.0;5.0;135.0;450.0;4.148
F17/0110 /  17 octobre 2024;9.0;6.0;200.0;;
F35/0416 /  17 octobre 2024;5.0;3.0;143.5;;620.0
E95/2450 /  17 octobre 2024;5.0;4.0;119.0;;1.765
F53/1318 /  18 octobre 2024;6.0;4.0;132.0;566.0;6.78
F47/1385 /  17 octobre 2024;5.0;3.0;100.0;;8.6
E73/1120 /  18 octobre 2024;4.0;3.0;112.0;;1.214
F32/0876 /  18 octobre 2024;5.0;3.0;118.0;1.0;1.653
F01/1336 /  18 octobre 2024;6.0;4.0;227.0;4.103;1.762
F24/1617 /  18 octobre 2024;3.0;2.0;68.7;;
F47/1883 /  19 octobre 2024;7.0;5.0;181.0;;11.878
F31/1560 /  18 octobre 2024;5.0;3.0;116.0;;7.284
F09/0198 /  17 octobre 2024;5.0;4.0;123.0;;2.724
F23/2660 /  17 octobre 2024;5.0;4.0;90.0;;
F36/1377 /  17 octobre 2024;1.0;;24.27;;8.611
F33/0303 /  17 octobre 2024;2.0;1.0;45.0;;6.778
F47/0450 /  17 octobre 2024;3.0;2.0;65.0;;2.646
E97/1508 /  19 octobre 2024;2.0;1.0;63.0;;7.143
F25/0583 /  17 octobre 2024;3.0;2.0;48.14;;
F52/1259 /  18 octobre 2024;2.0;1.0;49.5;;4.141
F51/1695 /  19 octobre 2024;;;16.0;;
F15/1495 /  17 octobre 2024;2.0;1.0;42.0;;3.548
F19/2337 /  19 octobre 2024;2.0;1.0;54.0;;5.463
E98/0115 /  17 octobre 2024;15.0;7.0;379.0;471.0;1.609
E83/2884 /  17 octobre 2024;5.0;3.0;100.0;2.5;1.58
E93/1772 /  19 octobre 2024;3.0;2.0;67.0;;2.463
E94/2080 /  18 octobre 2024;1.0;;30.0;;
F16/1314 /  18 octobre 2024;5.0;4.0;99.0;500.0;3.687
F36/1242 /  18 octobre 2024;4.0;2.0;67.0;;4.104
F50/1610 /  17 octobre 2024;1.0;;21.3;;4.178
F53/1535 /  19 octobre 2024;3.0;2.0;48.0;70.0;4.979
F30/0451 /  17 octobre 2024;4.0;3.0;85.0;441.0;2.351
F29/2797 /  17 octobre 2024;6.0;4.0;170.0;1.2;2.118
F28/2893 /  17 octobre 2024;7.0;4.0;248.0;2.214;1.976
F48/1391 /  19 octobre 2024;5.0;4.0;131.0;131.0;4.504
E84/1968 /  19 octobre 2024;6.0;4.0;138.0;490.0;1.377
F48/2696 /  19 octobre 2024;1.0;;28.0;;5.446
F48/1789 /  19 octobre 2024;5.0;3.0;91.0;660.0;3.242
F32/2877 /  18 octobre 2024;4.0;3.0;119.0;200.0;3.613
F30/0145 /  17 octobre 2024;3.0;1.0;59.0;;2.424
E92/0904 /  18 octobre 2024;4.0;3.0;87.0;;1.379
F50/2026 /  17 octobre 2024;5.0;3.0;110.0;372.0;3.627
F24/0282 /  15 octobre 2024;8.0;5.0;200.0;580.0;3.25
F50/0060 /  17 octobre 2024;6.0;5.0;222.0;718.0;2.779
F48/1210 /  17 octobre 2024;6.0;5.0;926.0;120.0;2.376
F01/1521 /  18 octobre 2024;3.0;1.0;66.0;;2.5
F21/1569 /  18 octobre 2024;4.0;2.0;118.0;;5.551
F51/1472 /  17 octobre 2024;3.0;2.0;55.0;;12.727
F51/2681 /  17 octobre 2024;4.0;3.0;128.0;640.0;4.258
F32/0709 /  17 octobre 2024;3.0;2.0;77.0;;2.312
F22/0636 /  17 octobre 2024;5.0;4.0;107.0;;3.411
F34/1954 /  13 octobre 2024;9.0;6.0;250.0;4.5;
A60/0921 /  17 octobre 2024;7.0;5.0;200.0;800.0;17.5
F36/0291 /  17 octobre 2024;4.0;3.0;79.0;;2.646
E94/1795 /  17 octobre 2024;5.0;3.0;65.0;;3.831
F51/2434 /  18 octobre 2024;;;;;
F48/2861 /  18 octobre 2024;1.0;;30.0;;5.833
F22/1636 /  18 octobre 2024;5.0;4.0;138.0;500.0;2.355
C79/0180 /  18 octobre 2024;6.0;3.0;125.0;20.0;4.24
F35/1123 /  17 octobre 2024;3.0;2.0;73.0;;5.137
F33/2136 /  17 octobre 2024;6.0;5.0;460.0;;739.0
F26/2247 /  18 octobre 2024;5.0;4.0;153.0;1.011;3.778
F40/0795 /  17 octobre 2024;6.0;3.0;218.0;1.75;1.743
F53/1533 /  19 octobre 2024;1.0;1.0;25.95;;7.476
F00/2668 /  17 octobre 2024;1.0;;39.0;;3.59
F45/2294 /  17 octobre 2024;2.0;1.0;33.0;;4.545
F52/1578 /  15 octobre 2024;6.0;4.0;150.0;588.0;3.993
F50/1225 /  18 octobre 2024;2.0;1.0;54.0;;3.333
F30/0139 /  17 octobre 2024;2.0;1.0;55.5;;3.514
F47/2753 /  17 octobre 2024;2.0;1.0;38.0;;10.658
E27/3156 /  17 octobre 2024;6.0;4.0;193.0;2.1;3.472
E90/0943 /  17 octobre 2024;;;150.0;;
F18/0496 /  17 octobre 2024;7.0;4.0;290.0;1.5;966.0
F05/1447 /  17 octobre 2024;4.0;2.0;95.0;;1.737
F48/2953 /  17 octobre 2024;5.0;3.0;140.0;800.0;1.643
F35/1908 /  19 octobre 2024;5.0;4.0;106.0;1.3;2.689
E91/1213 /  15 octobre 2024;7.0;4.0;150.0;1.397;1.9
F46/1116 /  18 octobre 2024;4.0;3.0;83.0;326.0;8.337
F47/0395 /  17 octobre 2024;2.0;1.0;50.0;;7.0
F35/0434 /  17 octobre 2024;9.0;6.0;292.0;404.0;5.12
F31/0928 /  17 octobre 2024;4.0;3.0;84.0;;1.31
F47/2084 /  11 octobre 2024;7.0;5.0;149.0;326.0;3.993
F34/0803 /  17 octobre 2024;2.0;1.0;43.0;;9.07
F44/1571 /  19 octobre 2024;6.0;5.0;228.0;1.63;3.355
F49/1572 /  19 octobre 2024;6.0;5.0;256.0;740.0;3.262
F47/1239 /  17 octobre 2024;1.0;;27.0;;7.778
F29/1500 /  17 octobre 2024;3.0;2.0;71.0;900.0;4.787
E99/2765 /  17 octobre 2024;2.0;1.0;37.0;;2.568
F35/2801 /  17 octobre 2024;4.0;3.0;85.0;;2.588
F18/0911 /  15 octobre 2024;8.0;5.0;231.0;6.185;3.593
F52/3033 /  15 octobre 2024;;;;;
F04/0063 /  17 octobre 2024;5.0;3.0;106.0;56.0;
F16/2103 /  19 octobre 2024;3.0;2.0;64.0;145.0;2.969
E32/2501 /  17 octobre 2024;5.0;3.0;105.0;446.0;3.324
F22/0766 /  17 octobre 2024;7.0;3.0;180.0;376.0;4.711
F44/0665 /  15 octobre 2024;4.0;3.0;95.0;400.0;5.368
F42/0651 /  17 octobre 2024;2.0;1.0;46.7;;
D40/0521 /  17 octobre 2024;7.0;4.0;250.0;2.1;2.6
F34/1782 /  19 octobre 2024;3.0;2.0;76.0;40.0;7.092
F38/0082 /  17 octobre 2024;;2.0;22.0;;
F42/0867 /  18 octobre 2024;;;;;
F36/0662 /  19 octobre 2024;;;600.0;;
F40/1166 /  19 octobre 2024;5.0;3.0;104.0;;14.327
F12/2285 /  17 octobre 2024;3.0;2.0;87.0;;2.954
F32/2460 /  19 octobre 2024;4.0;3.0;85.0;;5.859
F37/2639 /  17 octobre 2024;3.0;2.0;50.0;250.0;1.9
F32/1711 /  18 octobre 2024;6.0;4.0;112.0;228.0;3.393
E78/3339 /  19 octobre 2024;5.0;3.0;82.0;;4.732
F46/2365 /  17 octobre 2024;4.0;3.0;111.0;;5.676
E85/1559 /  18 octobre 2024;6.0;5.0;300.0;1.2;1.033
F35/1542 /  17 octobre 2024;5.0;4.0;120.0;130.0;4.158
F33/2528 /  17 octobre 2024;1.0;;32.56;;
F02/0985 /  18 octobre 2024;8.0;5.0;380.0;14.0;1.658
F44/1128 /  18 octobre 2024;;;1.505;;39.0
E80/0420 /  17 octobre 2024;5.0;4.0;144.0;;2.292
F25/1696 /  19 octobre 2024;5.0;3.0;110.0;;3.591
E40/0336 /  18 octobre 2024;8.0;6.0;210.0;1.35;1.186
E14/2836 /  17 octobre 2024;;;;;
F03/0252 /  17 octobre 2024;1.0;;23.05;;11.931
E30/0185 /  17 octobre 2024;;;;;
F49/3051 /  19 octobre 2024;8.0;6.0;232.0;2.095;1.94
F03/1376 /  17 octobre 2024;20.0;10.0;330.0;1.5;4.545
F25/1110 /  19 octobre 2024;;;200.0;;
F20/2381 /  17 octobre 2024;2.0;1.0;58.0;;2.534
F53/1633 /  19 octobre 2024;3.0;2.0;65.6;;1.646
F29/0962 /  17 octobre 2024;3.0;2.0;56.0;;3.661
F39/2843 /  17 octobre 2024;8.0;5.0;154.0;2.28;3.247
F47/1258 /  17 octobre 2024;4.0;3.0;106.0;;
F47/3127 /  17 octobre 2024;2.0;1.0;55.0;;5.982
E84/0936 /  17 octobre 2024;3.0;2.0;67.0;;5.0
F34/1373 /  17 octobre 2024;2.0;1.0;42.0;;6.357
F16/2257 /  17 octobre 2024;6.0;5.0;140.0;616.0;3.0
F22/1936 /  17 octobre 2024;3.0;2.0;63.43;;3.626
F26/0794 /  17 octobre 2024;4.0;2.0;72.0;;3.056
E90/2391 /  17 octobre 2024;;1.0;36.0;;
F16/2485 /  17 octobre 2024;4.0;2.0;106.0;;9.057
F52/0796 /  15 octobre 2024;6.0;4.0;157.0;400.0;4.045
F53/1746 /  19 octobre 2024;4.0;3.0;99.0;1.0;3.99
F41/2135 /  17 octobre 2024;4.0;3.0;78.0;78.0;12.756
F45/0437 /  17 octobre 2024;3.0;2.0;67.0;;
E81/2221 /  19 octobre 2024;3.0;2.0;42.84;;7.12
F29/2609 /  17 octobre 2024;3.0;2.0;78.0;;3.205
F47/3075 /  17 octobre 2024;9.0;6.0;222.0;1.479;4.617
F05/0233 /  17 octobre 2024;1.0;;14.33;;
F49/1374 /  19 octobre 2024;5.0;3.0;126.0;;5.516
E36/1329 /  18 octobre 2024;3.0;1.0;73.0;;3.836
D91/1278 /  17 octobre 2024;6.0;5.0;340.0;1.7;2.75
E88/2525 /  17 octobre 2024;8.0;5.0;162.0;4.992;3.333
F40/0773 /  18 octobre 2024;;;70.0;;
F44/2189 /  17 octobre 2024;1.0;;35.0;;3.714
F42/1023 /  17 octobre 2024;4.0;3.0;66.0;;2.712
F45/0874 /  18 octobre 2024;7.0;6.0;133.0;320.0;1.519
F50/0877 /  17 octobre 2024;2.0;1.0;30.0;;7.667
F47/1798 /  17 octobre 2024;2.0;1.0;37.0;;
F23/1061 /  19 octobre 2024;3.0;2.0;68.34;;10.901
F47/3279 /  18 octobre 2024;5.0;3.0;120.0;736.0;1.908
E84/0961 /  17 octobre 2024;7.0;4.0;155.0;;
E82/2392 /  17 octobre 2024;;;2.457;;38.0
F26/1983 /  19 octobre 2024;6.0;4.0;285.0;;2.912
